AURRERA BODEGA SUCURSAL HILARIO MEDINA (3804),HARINA DE MAIZ,13.90,21.132543,-101.659225
FARMACIA GUADALAJARA SUCURSAL MIGUEL ALEMAN 072,HARINA DE MAIZ,12.20,21.124324,-101.685945
SORIANA HIPER SUCURSAL ACAPULCO COSTERA (274),HARINA DE MAIZ,13.90,16.858598,-99.890270
BODEGA AURRERA,HARINA DE MAIZ,13.90,16.754378,-93.121102
BODEGA AURRERA SUCURSAL 2224,HARINA DE MAIZ,13.90,31.659331,-106.389823
WALMART SUCURSAL TORRES DEL SUR,HARINA DE MAIZ,11.50,31.633608,-106.393285
WALMART SUCURSAL LOS CABOS,HARINA DE MAIZ,12.90,22.890285,-109.916942
BODEGA AURRERA SUCURSAL PATRICIO TRUEBA,HARINA DE MAIZ,12.50,19.826717,-90.534630
SORIANA HIPER SUCURSAL CIUDAD DEL CARMEN,HARINA DE MAIZ,10.60,18.650149,-91.805009
SUPER GUTIERREZ SUCURSAL PIEDRAS NEGRAS I,HARINA DE MAIZ,12.50,28.695849,-100.555588
WALMART SUCURSAL LOS CABOS,HARINA DE MAIZ,13.00,22.890285,-109.916942
BODEGA AURRERA SUCURSAL PATRICIO TRUEBA,HARINA DE MAIZ,12.00,19.826717,-90.534630
SUPER GUTIERREZ SUCURSAL PIEDRAS NEGRAS I,HARINA DE MAIZ,12.90,28.695849,-100.555588
SANTA FE SUCURSAL MURCIA,HARINA DE MAIZ,8.90,25.559436,-108.459920
BODEGA AURRERA SUCURSAL 4199,HARINA DE MAIZ,12.00,32.478084,-114.763224
CHEDRAUI SUCURSAL CENTRO,HARINA DE MAIZ,12.00,19.190629,-96.134770
SUPER GUTIERREZ SUCURSAL PLAZA PIEDRAS NEGRAS,HARINA DE MAIZ,12.50,28.697279,-100.517415
SORIANA HIPER SUCURSAL CALAFIA,HARINA DE MAIZ,9.20,32.641719,-115.469582
WALMART SUCURSAL ENSENADA,HARINA DE MAIZ,13.00,31.859079,-116.606337
SUPER GUTIERREZ SUCURSAL PLAZA PIEDRAS NEGRAS,HARINA DE MAIZ,10.90,28.697279,-100.517415
WAL MART,HARINA DE MAIZ,13.00,21.154958,-86.833802
SORIANA SUPER SUCURSAL 248,HARINA DE MAIZ,15.70,22.125627,-101.019770
SORIANA SUCURSAL PERINORTE,HARINA DE MAIZ,12.40,19.601616,-99.190592
MERCADO SORIANA SUCURSAL R-1 LA GOBERNADORA,HARINA DE MAIZ,10.00,19.558491,-99.023802
